id,name,hire_date,call_centre_id,supervisor_id
1000,Steven Lindsey,05-16-11,1,4
1001,James Allen,06-02-14,3,8
1002,Isaac Luna,06-04-14,1,3
1003,Jonathan Sullivan,01-23-14,4,9
1004,Lisa Pittman,12-12-14,4,9
1005,Christina Roach,02-29-16,2,5
1006,Rachel Larson,11-25-15,4,9
1007,Andrew Patel,11-09-13,4,10
1008,Aaron Thompson,12-04-15,1,4
1009,Richard Barnes,03-21-15,1,4
1010,Dean Jones,01-30-13,4,9
1011,Angela Russo,12-06-11,4,9
1012,Bruce Gray,11-29-13,4,9
1013,Alyssa Holden,05-27-11,4,10
1014,Angela Lara,08-04-10,3,7
1015,Brittany Kim,11-23-14,4,10
1016,Craig Phillips,05-20-13,4,9
1017,Brandon Oliver,11-20-15,3,7
1018,Jonathan Ortega,08-24-10,2,6
1019,Nicole Lewis,02-22-17,3,8
1020,Lisa Stevens,05-30-11,3,8
1021,Erica Weber,09-21-11,4,10
1022,Alexander Walker,06-10-12,3,8
1023,Marc Hill,10-24-15,4,9
1024,David Hunter,10-24-15,2,5
1025,Kelly Dunn,09-10-16,2,5
1026,Gregory Brown,08-18-12,2,6
1027,Zachary Alexander,05-13-13,2,6
1028,Yvette Rios,02-03-13,1,3
1029,Robert Fowler,01-22-13,1,4
1030,Jerome Hardy,08-08-13,3,8
1031,Jennifer Mooney,11-13-16,2,5
1032,David Roberts,05-21-11,1,3
1033,Kayla King,05-23-16,4,10
1034,Larry Thomas,04-18-13,1,3
1035,Casey Scott,08-22-13,4,9
1036,Justin Johnson,07-18-12,3,7
1037,Daniel Vega,02-17-17,3,8
1038,Ronald Moore,12-16-10,3,7
1039,Amanda Smith,03-18-17,2,5
1040,Tammy Lewis,07-09-13,4,10
1041,Tamara Aguirre,01-03-12,1,4
1042,Ray Benson,02-10-15,1,3
1043,Stuart Smith,01-15-14,4,10
1044,Mariah Brown,01-24-12,3,8
1045,Tommy Smith,11-05-16,4,10
1046,Charles Campbell,06-02-12,3,8
1047,Kimberly Jones,09-02-15,2,5
1048,David Jones PhD,03-16-14,3,8
1049,Kimberly Powers,01-25-14,4,10
1050,David Butler,09-17-16,2,5
1051,Tiffany Riley,05-12-11,1,4
1052,Joseph Thornton,01-15-17,4,10
1053,Tammy Mosley,09-28-13,4,9
1054,Sara Young,09-26-11,2,5
